"Austria: MCMC-Zerlegung der Bevölkerungssterblichkeit, Daten: Statistik Austria seit 1947, Berechnungen: Dr. Jonas Hirz, Dokumentation: vgl. Dokumentation der Pensionstafel AVÖ 2018-P"
,,,,,,,,,,,,,
,MCMC-Parameter,,Parameter alpha,Parameter beta,"Parameter beta, Lee-Carter",Parameter zeta,Parameter eta,Parameter beta; Vergleich MCMC vs. Lee-Carter,,,,,
,Geschlecht,Mann,Mann,Mann,Mann,Frau,Frau,Frau,Frau,Unisex,Unisex,Unisex,Unisex
,Trend seit ,1970,1980,1990,2000,1970,1980,1990,2000,1970,1980,1990,2000
Parameter,Alter,"Mann, 1970","Mann, 1980","Mann, 1990","Mann, 2000","Frau, 1970","Frau, 1980","Frau, 1990","Frau, 2000","Unisex, 1970","Unisex, 1980","Unisex, 1990","Unisex, 2000"
alpha,0,-4.947904314,-4.863377128,-4.807396264,-4.784564815,-5.128678969,-5.034214645,-4.997887229,-5.000638783,-5.031269456,-4.942739535,-4.894530664,-4.883256981
alpha,1,-7.350640635,-7.323118375,-7.297813084,-7.330481498,-7.540261984,-7.476157707,-7.481625507,-7.4451119,-7.439729029,-7.394954742,-7.378295411,-7.381422274
alpha,2,-7.753384727,-7.701683057,-7.648882933,-7.642362084,-7.94237942,-7.853036841,-7.865573241,-7.817368254,-7.867282892,-7.801045793,-7.782690136,-7.772719102
alpha,3,-8.011269125,-7.965943363,-7.902929146,-7.884005339,-8.214002318,-8.122940961,-8.135354174,-8.092408879,-8.13373311,-8.071030639,-8.045577726,-8.051755455
alpha,4,-8.180261309,-8.143321443,-8.095452645,-8.078712995,-8.413398947,-8.347711773,-8.354853925,-8.281848979,-8.318669518,-8.272517852,-8.25486804,-8.253145122
alpha,5,-8.291382587,-8.27938103,-8.267497995,-8.231969273,-8.528039357,-8.486502717,-8.493902858,-8.414986776,-8.429290009,-8.404828006,-8.413451752,-8.399930073
alpha,6,-8.361135324,-8.387529938,-8.384364804,-8.328783246,-8.59722068,-8.568569335,-8.599653904,-8.50859812,-8.491370494,-8.497010379,-8.527939013,-8.493989131
alpha,7,-8.405141868,-8.441032117,-8.453958889,-8.378465335,-8.672437696,-8.63749114,-8.663717029,-8.564260981,-8.549489553,-8.55357533,-8.593327872,-8.541133756
alpha,8,-8.429580696,-8.470579943,-8.48791382,-8.38732682,-8.72511239,-8.683203001,-8.690538574,-8.598112834,-8.583942499,-8.588611948,-8.621449928,-8.55796065
alpha,9,-8.461215856,-8.503966872,-8.490651772,-8.377412157,-8.748856527,-8.693849972,-8.69117988,-8.590077603,-8.614490977,-8.615315732,-8.622320412,-8.544125878
