tariff,sex,premium,probability,age,smooth,raw,Exposure
(all),(all),EE,qx,0,3.4221588807694135e-4,0,203.30647297907572
(all),(all),EE,qx,1,3.360965097879379e-4,0,903.80624717748
(all),(all),EE,qx,2,3.3008655596445e-4,0,1394.7527321993075
(all),(all),EE,qx,3,3.2418406991854457e-4,0,1738.219065181394
(all),(all),EE,qx,4,3.1838712995106076e-4,0,2082.2964774951074
(all),(all),EE,qx,5,3.1269384872595406e-4,0,2432.7583621857593
(all),(all),EE,qx,6,0.00030710237265582733,0,2876.5571579105826
(all),(all),EE,qx,7,3.016108812984504e-4,0,3491.6369035074513
(all),(all),EE,qx,8,2.9621758676406923e-4,0,4252.08956796628
(all),(all),EE,qx,9,2.90920733133314e-4,0,4977.536677705856
(all),(all),EE,qx,10,2.8571859588551884e-4,5.073690614467697e-4,5911.355607406293
(all),(all),EE,qx,11,2.806094813372607e-4,0,6844.790290531387
(all),(all),EE,qx,12,2.75996581082337e-4,3.868955102972689e-4,7752.531567063074
(all),(all),EE,qx,13,2.7225766669812946e-4,0,8689.349307541774
(all),(all),EE,qx,14,2.700604032601382e-4,2.1146346280898485e-4,9456.898652717146
(all),(all),EE,qx,15,2.700694164454974e-4,1.0070798944541461e-4,9929.198780671384
(all),(all),EE,qx,16,2.727209463024645e-4,2.9131999893768843e-4,10296.45417732952
(all),(all),EE,qx,17,2.7736107081316133e-4,1.910674155396258e-4,10466.509566460936
(all),(all),EE,qx,18,2.8342577444054323e-4,3.897746596179873e-4,10260.339793767876
(all),(all),EE,qx,19,2.898346404056084e-4,0,10439.924394099051
(all),(all),EE,qx,20,2.958302767308536e-4,4.988675723005541e-4,12024.239959355713
(all),(all),EE,qx,21,3.0059420286486656e-4,2.7567756103210526e-4,14507.70468914647
(all),(all),EE,qx,22,3.040945177898832e-4,2.887960423741621e-4,17310.756646093632
(all),(all),EE,qx,23,3.06150645019039e-4,2.50920349439014e-4,19924.142104470873
(all),(all),EE,qx,24,3.064792912431438e-4,6.701809540363678e-4,22374.514752370917
(all),(all),EE,qx,25,3.0430058481932407e-4,2.8368984867915695e-4,24671.3342691555
(all),(all),EE,qx,26,3.0117871035256386e-4,3.338746269743191e-4,26951.726298359175
(all),(all),EE,qx,27,2.9841781136793664e-4,2.06088220804837e-4,29110.745446334487
(all),(all),EE,qx,28,2.9763571728096946e-4,3.5018381799057925e-4,31406.57398765618
(all),(all),EE,qx,29,2.990625735789146e-4,2.696464886230776e-4,33372.53393045311
(all),(all),EE,qx,30,3.036488998541763e-4,3.6531971388635825e-4,35578.768207135334
(all),(all),EE,qx,31,3.120189158071579e-4,2.89640692876291e-4,37972.588958301974
(all),(all),EE,qx,32,3.259058634918559e-4,2.5175088247950166e-4,39716.807135330426
(all),(all),EE,qx,33,3.4711803190224765e-4,2.1825295327860102e-4,41232.05540418486
(all),(all),EE,qx,34,3.765146461295768e-4,3.9628004460842117e-4,42890.455502032215
(all),(all),EE,qx,35,4.1196372203778573e-4,4.743261080960544e-4,44262.83777660695
(all),(all),EE,qx,36,4.507890074383595e-4,5.690588011601091e-4,45676.47874454313
(all),(all),EE,qx,37,4.904125419609526e-4,6.256124738152916e-4,47938.00806111696
(all),(all),EE,qx,38,5.297354952958081e-4,6.215121205201035e-4,51471.33056600933
(all),(all),EE,qx,39,5.702868509713626e-4,4.5031564742780924e-4,55504.11405238597
(all),(all),EE,qx,40,6.163629282613091e-4,6.469955195475988e-4,60259.12453710673
